 kgrid  ValNew  Policy 
    0.85 -22.7177     0.85
    0.86  -21.763     0.85
    0.87 -20.8883     0.86
    0.88 -20.0665     0.86
    0.89 -19.2916     0.87
     0.9 -18.5628     0.88
    0.91 -17.8619     0.88
    0.92 -17.2128     0.89
    0.93 -16.5816      0.9
    0.94 -15.9803      0.9
    0.95 -15.4175     0.91
    0.96 -14.8654     0.92
    0.97 -14.3468     0.92
    0.98 -13.8546     0.93
    0.99 -13.3718     0.94
       1 -12.9222     0.94
    1.01 -12.4889     0.95
    1.02 -12.0663     0.96
    1.03 -11.6748     0.96
    1.04 -11.2917     0.97
    1.05 -10.9206     0.98
    1.06 -10.5772     0.99
    1.07 -10.2383     0.99
    1.08 -9.91122        1
    1.09  -9.6059     1.01
     1.1 -9.30804     1.01
    1.11  -9.0188     1.02
    1.12 -8.74653     1.03
    1.13 -8.48376     1.03
    1.14  -8.2271     1.04
    1.15 -7.98363     1.05
